medialne,6457,37.3,4
oko_press,48241,21.4,8
konkret24,9497,15.2,1
tvp_info,690970,13.1,61
Matka_Kurka,22222,11.9,87
RadioZET_NEWS,67285,9.3,31
tvn24,1412002,8.5,50
WiadomosciTVP,90810,8.1,13
wPrawopl,8059,6.8,7
MediaNarodoweMN,17976,6.3,7
gazeta_wyborcza,766562,5.3,19
natematpl,61706,4.7,3
gazetapl_news,593242,3.9,2
RepublikaTV,80310,3.6,92
niezaleznapl,53061,3.5,13
rzeczpospolita,196831,3.4,64
wSensie,7887,3.1,5
DemagogPL,6898,2.6,3
demaskator24,106,2,0
OnetWiadomosci,44851,1.6,39
FaktyTVN,134384,1.5,18
KRESYPL,8823,1.4,20
Interia_Fakty,22021,1,34
bankier_pl,22179,0.7,11
wgospodarce,5753,0.6,28
dlapolski,1235,0.3,10
PikioPL,4872,0,1
