medialne,6457,69.3
oko_press,48241,51.4
tvp_info,690970,40.0
gazeta_wyborcza,766562,33.9
Matka_Kurka,22222,31.9
RadioZET_NEWS,67285,30.6
konkret24,9497,27.0
WiadomosciTVP,90810,26.5
natematpl,61706,21.7
gazetapl_news,593242,21.6
tvn24,1412002,20.0
wSensie,7887,15.7
wPrawopl,8059,15.4
MediaNarodoweMN,17976,15.0
rzeczpospolita,196831,12.6
OnetWiadomosci,44851,11.2
DemagogPL,6898,7.6
niezaleznapl,53061,7.3
RepublikaTV,80310,7.0
wgospodarce,5753,5.4
FaktyTVN,134384,5.1
KRESYPL,8823,4.8
Interia_Fakty,22021,4.3
bankier_pl,22179,2.7
dlapolski,1235,2.0
demaskator24,106,1.7
PikioPL,4872,1.0
